Location,Attached Bath,Wifi,AC,Parking,public transport accessible,grocery stores,restaurants,Hospital,season,nearby tourist attractions,Price per day
Abbottabad,1,1,1,1,1,1,0,0,spring,0,4171
Aliabad,1,0,1,1,1,1,1,1,summer,0,6730
Aliabad,1,0,1,1,1,1,1,1,autumn,0,8430
Aliabad,1,0,1,1,0,1,0,1,spring,0,7730
Aliabad,1,0,1,1,1,0,1,0,autumn,0,8430
Aniahgram,1,0,1,1,0,0,1,1,spring,0,9000
Ayubia,1,0,1,1,1,0,0,0,winter,0,9000
Baltit,1,1,1,1,0,0,0,1,spring,0,5444
Baltit,1,1,1,1,0,1,0,0,summer,0,44080
Baltit,1,1,1,1,0,0,1,1,winter,0,44080
Baltit,1,0,1,1,1,0,1,0,autumn,0,16430
Baltit,1,0,1,1,0,0,1,1,winter,0,9821
Baltit,1,1,1,1,1,0,0,0,autumn,0,77874
Baltit,1,0,1,1,0,0,0,1,summer,0,9430
Baltit,1,0,1,1,0,0,1,0,autumn,0,10430
Baltit,1,0,1,1,0,0,0,1,autumn,0,9430
Baltit,1,0,1,1,0,0,1,0,winter,0,8430
Band,1,0,1,1,0,1,1,1,spring,0,9430
Bhurban,1,0,1,1,1,1,1,0,autumn,0,6430
Chamangul,1,1,1,1,1,1,0,0,winter,0,10800
chitral,1,0,1,1,0,0,0,1,winter,0,25000
chitral,1,1,1,1,1,0,1,1,summer,1,14299
chitral,1,1,1,1,1,0,1,1,winter,1,4000
chitral,1,1,1,1,1,0,1,1,winter,1,23599
chitral,1,1,1,1,1,0,1,1,autumn,1,4500
chitral,1,1,1,1,1,0,1,1,winter,1,5500
chitral,1,1,1,1,1,1,1,1,spring,1,6000
chitral,1,1,1,1,1,1,1,1,summer,1,22000
chitral,1,1,1,1,1,1,1,1,summer,1,5000
chitral,1,1,1,1,1,1,1,1,summer,1,6500
chitral,1,1,1,1,1,1,1,1,winter,1,5000
Chitral,1,1,1,1,1,1,1,1,spring,1,6500
Chitral,1,0,1,1,1,0,0,0,winter,0,9730
Chitral,1,0,1,1,0,0,1,1,autumn,0,4500
Chitral,1,0,1,1,1,0,1,1,winter,0,9730
Chitral,1,0,1,1,1,0,0,0,summer,0,3940
Chitral,1,0,1,1,1,0,1,1,summer,0,2000
Chitral,1,1,1,1,0,1,0,1,spring,0,7000
Chitral,1,1,1,1,1,1,0,0,summer,0,6741
Chitral,1,0,1,1,1,0,0,0,autumn,0,10500
Dumri,1,1,1,1,0,0,0,1,winter,0,7000
G?kuch,1,0,1,1,0,1,1,1,spring,0,9730
Gilgit,1,0,1,1,1,0,0,1,winter,0,4500
Gilgit,1,0,1,1,1,0,0,1,spring,0,3940
Gilgit,1,0,1,1,1,1,1,1,winter,0,10500
Gilgit,1,1,1,1,1,0,1,0,autumn,0,6741
Gilgit,1,0,1,1,0,1,0,0,spring,0,2000
Gilgit,1,0,1,1,0,1,1,0,summer,0,16000
Gilgit,1,0,0,1,0,0,1,0,summer,1,"11,940"
Gilgit,1,0,1,1,0,1,1,1,spring,0,11440
Gilgit,1,0,1,1,0,0,0,1,summer,0,3658
Gilgit,1,1,1,1,1,1,0,1,winter,0,6020
Gilgit,1,1,1,1,1,0,1,1,autumn,0,6130
Gilgit,1,1,1,1,0,1,0,1,winter,0,6750
Gilgit,1,0,1,1,0,1,1,0,autumn,0,4950
Gilgit,1,0,1,1,0,1,1,1,summer,0,5850
Gilgit,1,0,1,1,0,1,1,0,summer,0,7600
Gilgit,1,0,1,1,1,0,0,1,autumn,0,9730
Gilgit,1,0,1,1,0,0,1,0,winter,0,9730
Gilgit,1,1,1,1,1,1,1,0,winter,0,14000
Gilgit,1,1,1,1,0,0,1,0,winter,1,"4,500"
Gilgit,1,1,1,1,0,0,1,0,spring,1,"11,000"
Gilgit,1,1,1,1,0,0,1,0,summer,1,"7,000"
Gilgit,1,1,1,1,0,0,1,0,autumn,1,"8,000"
Gilgit,1,1,0,1,0,0,1,0,summer,1,"30,624"
Gircha,1,1,0,1,0,0,1,0,summer,1,"8,940"
Gircha,1,1,0,1,0,0,1,0,spring,1,"5,930"
Gulmarg,1,1,0,1,0,0,1,0,autumn,1,"5,850"
Gulmarg,1,1,1,1,0,0,1,0,spring,1,"5,249"
Hunza,1,1,1,1,0,0,1,1,winter,1,"10,990"
Hunza,1,1,1,1,0,0,0,1,summer,1,"10,990"
Hunza,1,1,1,1,1,0,1,0,summer,1,"10,247"
Hunza,1,1,1,1,1,0,1,0,spring,1,"12,029"
Hunza,1,1,1,1,1,0,1,0,winter,1,"13,990"
Hunza,1,1,1,1,0,0,1,0,spring,1,15558
Hunza,1,1,1,1,0,0,1,0,spring,1,"27,716"
Hunza,1,1,1,1,0,0,1,0,spring,1,"7,600"
Hunza,1,1,1,1,0,0,1,0,winter,1,"13,000"
Hunza,1,1,0,1,0,0,1,1,winter,1,"8,100"
Hunza,1,1,0,1,0,0,1,0,spring,1,"7,430"
Hunza,1,1,1,1,0,0,1,0,autumn,1,"14,330"
Hunza,1,1,1,1,1,0,1,1,winter,1,12000
Hunza,1,1,1,1,0,1,1,0,spring,0,14950
islamabad,1,0,1,1,0,1,1,1,summer,0,13990
islamabad,1,1,1,1,0,1,1,0,spring,0,22689
islamabad,1,1,1,1,0,1,0,0,summer,0,13608
islamabad,1,0,1,1,0,0,1,1,summer,0,14440
islamabad,1,1,1,1,0,0,1,0,winter,0,9000
islamabad,1,0,1,1,1,0,1,1,winter,0,3510
islamabad,1,0,1,1,0,1,0,1,spring,0,10800
islamabad,1,0,1,1,0,1,1,0,autumn,0,12960
islamabad,1,1,1,1,1,1,0,0,autumn,0,20250
islamabad,1,0,1,1,0,1,1,0,winter,0,7000
islamabad,1,0,1,1,1,1,0,1,summer,0,5940
Islamabad,1,0,1,1,0,1,1,1,autumn,0,9430
Islamabad,1,0,1,1,0,0,1,0,autumn,0,9430
Islamabad,1,0,1,1,1,0,1,1,autumn,0,10430
Islamabad,1,0,1,1,0,0,0,1,autumn,0,9430
Islamabad,1,0,1,1,0,1,0,1,spring,0,11440
Islamabad,1,0,1,1,1,1,0,0,spring,0,16430
Kalam,1,1,1,1,1,1,0,1,spring,0,46651
Kanzalwan,1,1,1,0,1,1,0,0,summer,0,11000
Kanzalwan,1,1,1,1,1,0,1,1,summer,1,7600
Karachi,1,1,1,1,1,0,1,1,autumn,1,8000
Karachi,1,1,1,1,1,0,1,1,summer,1,9200
Karachi,1,1,1,1,1,0,1,1,spring,1,9500
Karachi,1,1,1,1,1,0,1,1,winter,1,10000
Karachi,1,1,1,1,1,0,1,1,spring,1,11500
Karachi,1,1,1,1,1,0,1,1,spring,1,12500
Karachi,1,1,1,1,1,0,1,1,winter,1,13500
Karachi,1,1,1,1,1,0,1,1,winter,1,14250
Karachi,1,1,1,1,1,0,1,1,summer,1,15000
Karachi,1,1,1,1,1,0,1,1,winter,1,17250
Karachi,1,1,1,1,1,0,1,1,spring,1,18750
Karachi,1,1,1,1,1,0,1,1,autumn,1,14960
Karachi,1,1,1,1,1,0,1,1,spring,1,17600
Karachi,1,1,1,0,1,0,1,1,winter,1,10400
Karachi,1,1,1,0,1,0,1,1,winter,1,10800
Karachi,1,1,1,0,1,0,1,1,spring,1,11696
Karachi,1,1,1,0,1,0,1,1,autumn,1,12648
Karimabad Hunza,1,1,1,0,1,0,1,1,summer,1,13600
Kuh,1,1,1,1,1,0,1,1,spring,1,3500
Lahore,1,1,1,1,1,0,1,1,spring,1,4000
Lahore,1,1,1,1,1,0,1,1,spring,1,5000
Lahore,1,1,1,1,1,0,1,1,summer,1,8000
Lahore,1,1,1,1,1,0,1,1,autumn,1,28800
Lahore,1,1,1,1,1,0,1,1,winter,1,31360
Lahore,1,1,1,1,1,0,1,1,autumn,1,44480
Lahore,1,1,1,1,1,0,1,1,autumn,1,5500
Lahore,1,1,1,1,1,0,1,1,summer,1,10500
Lahore,1,1,1,1,1,0,1,1,summer,1,11000
Lahore,1,1,1,1,1,0,1,1,spring,1,13000
Malam Jabba,1,1,1,1,1,0,1,1,summer,1,15000
Malam Jabba,1,1,1,1,1,0,1,1,summer,1,10000
Mam Derai,1,1,1,1,1,0,1,1,autumn,1,14000
Mam Derai,1,0,1,1,1,0,1,1,spring,1,10800
Mam Derai,1,1,1,1,1,0,1,1,spring,1,5900
Mansehra,1,1,1,1,0,1,0,0,summer,0,3749
Mingora,1,1,1,1,1,1,1,1,autumn,0,14985
Mingora,1,1,1,1,0,1,0,0,winter,0,9000
Mingora,1,1,1,1,0,1,0,0,autumn,0,8499
Mingora,1,1,1,1,1,0,0,0,winter,0,8550
Mingora,1,1,1,1,1,0,1,1,spring,0,4725
Mingora,1,1,1,1,1,0,0,0,autumn,0,7695
Mingora,1,1,1,1,1,1,0,1,autumn,0,11999
Mingora,1,1,1,1,1,0,0,0,autumn,0,13329
Mingora,1,1,1,1,0,0,1,0,spring,0,11763
Moniawar,1,0,0,1,1,0,1,1,winter,1,4500
murree,1,0,1,1,1,0,1,1,spring,1,5000
murree,1,1,1,1,1,1,1,1,summer,1,"10,000"
murree,1,0,1,1,1,1,1,1,summer,1,"15,000"
murree,1,1,1,1,1,1,1,1,autumn,1,10000
murree,1,0,0,0,1,1,1,1,autumn,1,9000
murree,1,0,0,1,1,1,1,1,autumn,1,8000
murree,1,0,1,0,1,1,1,1,winter,1,10000
murree,1,1,1,1,1,1,1,1,spring,1,47000
murree,1,0,0,1,1,1,1,1,autumn,1,8500
murree,1,1,1,0,1,1,1,1,winter,1,4250
murree,1,0,0,1,1,1,1,1,spring,1,15000
murree,1,1,0,1,1,1,1,1,autumn,1,9000
murree,1,1,0,0,1,1,1,1,spring,1,37000
murree,1,0,0,0,1,1,1,1,autumn,1,35000
murree,1,1,1,1,1,1,1,1,autumn,1,35000
murree,1,0,0,1,1,1,1,1,summer,1,15000
murree,1,1,1,1,1,1,1,1,autumn,0,5143
murree,1,0,1,1,0,1,0,1,winter,0,8430
murree,1,1,1,1,1,1,1,1,summer,1,3000
Murree,1,0,0,1,1,1,1,1,summer,1,5000
Nahr,1,0,0,1,1,1,1,1,winter,1,3000
Naran,1,0,1,0,1,1,1,1,spring,1,11000
Naran,1,1,0,1,1,1,1,1,spring,1,10000
Naran,1,0,0,0,1,1,1,1,summer,1,33000
Naran,1,0,0,1,1,1,1,1,autumn,1,5000
Naran,1,1,0,0,1,1,1,1,summer,1,5000
Naran,1,1,1,1,1,1,1,1,spring,1,21000
Naran,1,0,0,0,1,1,1,1,autumn,1,9500
Naran,1,0,1,1,1,1,1,0,winter,0,7932
Naran,1,0,1,1,0,1,0,0,summer,0,4000
Naran,1,0,1,1,0,1,0,0,spring,0,6430
Nathia Gali,1,1,1,1,0,1,1,1,summer,0,12150
Pasu,1,0,1,1,0,1,1,1,autumn,0,8430
Ponedas,1,1,1,1,0,1,1,0,autumn,0,4446
rawalpindi,1,0,1,1,0,0,0,1,winter,0,12825
rawalpindi,1,1,1,0,1,0,0,0,winter,0,4500
rawalpindi,1,0,1,1,1,0,0,1,autumn,0,700
rawalpindi,1,0,1,1,1,0,0,1,spring,0,6010
Rawalpindi,1,0,1,1,0,0,0,1,winter,0,7220
Rawalpindi,1,0,1,1,1,0,1,1,autumn,0,2592
Rawalpindi,1,1,1,1,1,0,0,1,autumn,0,9899
Rawalpindi,1,0,1,1,1,0,1,1,autumn,0,14999
Saidu,1,0,1,1,1,0,1,1,autumn,0,4150
Saidu,1,1,1,1,0,0,0,1,spring,0,15321
Shardi,1,1,1,1,1,0,1,0,summer,0,11996
Shardi,1,1,1,1,1,1,1,1,spring,1,12000
Shoghot,1,0,1,1,1,1,1,1,spring,1,10000
Shogran,1,1,1,1,1,1,1,1,winter,1,5000
Shogran,1,1,1,1,1,1,1,1,winter,1,6500
Skardu,1,1,1,1,1,1,1,1,autumn,1,15000
Skardu,1,1,1,1,1,0,1,1,spring,1,8000
Skardu,1,1,1,1,1,0,1,1,autumn,1,7000
Skardu,1,1,1,1,1,0,1,1,autumn,1,11500
Skardu,1,1,1,1,1,1,1,1,autumn,1,4500
Skardu,1,1,1,1,1,1,1,1,winter,1,3500
Skardu,1,1,1,1,1,0,1,1,winter,1,13400
Skardu,1,1,1,1,1,1,1,1,summer,1,3000
Skardu,1,1,1,1,1,0,1,1,spring,1,4000
Skardu,1,1,1,1,1,0,1,1,spring,1,11599
Skardu,1,1,1,1,1,0,1,1,autumn,1,4000
Skardu,1,1,1,1,1,0,1,1,autumn,1,5000
Skardu,1,1,1,1,1,0,1,1,summer,1,25000
Skardu,1,1,1,1,1,0,1,1,winter,1,3500
Sonrni,1,0,1,1,1,0,1,1,winter,1,6500
Srinagar,1,1,1,1,1,0,0,0,spring,0,13487
Srinagar,1,0,1,1,1,0,1,0,winter,0,7130
Sumaiyar,1,0,1,0,1,0,0,1,autumn,0,8588
Swat,1,0,1,1,1,1,0,1,summer,0,7240
Swat,1,0,1,1,0,1,0,1,summer,0,7500
Swat,1,0,1,1,0,0,0,0,winter,0,10230
Swat,1,0,1,1,1,0,0,0,summer,0,15230
Swat,1,0,1,1,1,0,0,0,winter,0,7240
Swat,1,0,1,1,0,1,0,1,winter,0,11730
Swat,1,0,1,0,0,0,1,0,winter,0,14130
Swat,1,0,1,1,1,0,1,0,spring,0,11970
Swat,1,0,1,1,0,0,0,1,summer,0,9900
Swat,1,1,1,1,1,0,1,0,winter,1,"12,180"
Swat,1,0,1,0,1,0,0,0,spring,0,9430
Swat,1,0,1,1,1,1,0,0,spring,0,12499
Swat,1,1,1,1,1,0,1,1,summer,1,7400
Swat,1,1,1,1,1,0,1,1,autumn,1,2000
Swat,1,0,0,1,1,0,1,1,spring,1,3600
Swat,1,1,1,1,1,0,1,1,autumn,1,3000
Swat,1,1,1,1,1,0,1,1,spring,1,5400
Tato,1,1,1,1,1,1,0,1,winter,0,8100
